model,bin,n,n_positive,mean_predicted,fraction_positive
uncalibrated_logreg_smote,0,118,2,0.01794815668388473,0.01694915254237288
uncalibrated_logreg_smote,1,118,7,0.05613428924159806,0.059322033898305086
uncalibrated_logreg_smote,2,117,8,0.10851165082348127,0.06837606837606838
uncalibrated_logreg_smote,3,118,7,0.17673433698731603,0.059322033898305086
uncalibrated_logreg_smote,4,117,9,0.26363777086917306,0.07692307692307693
uncalibrated_logreg_smote,5,118,9,0.3777408389626981,0.07627118644067797
uncalibrated_logreg_smote,6,117,13,0.489481458295204,0.1111111111111111
uncalibrated_logreg_smote,7,118,25,0.6018302967224582,0.211864406779661
uncalibrated_logreg_smote,8,117,36,0.7232605114822974,0.3076923076923077
uncalibrated_logreg_smote,9,118,74,0.8720916300219552,0.6271186440677966
calibrated_logreg_smote_sigmoid,0,118,4,0.014621355979132607,0.03389830508474576
calibrated_logreg_smote_sigmoid,1,118,4,0.03052606046447672,0.03389830508474576
calibrated_logreg_smote_sigmoid,2,117,8,0.04943774473796461,0.06837606837606838
calibrated_logreg_smote_sigmoid,3,118,7,0.06900620683201655,0.059322033898305086
calibrated_logreg_smote_sigmoid,4,117,8,0.09620529972976603,0.06837606837606838
calibrated_logreg_smote_sigmoid,5,118,9,0.13339328931105743,0.07627118644067797
calibrated_logreg_smote_sigmoid,6,117,18,0.17617525011149446,0.15384615384615385
calibrated_logreg_smote_sigmoid,7,118,21,0.23024917450342694,0.17796610169491525
calibrated_logreg_smote_sigmoid,8,117,38,0.31225377384252145,0.3247863247863248
calibrated_logreg_smote_sigmoid,9,118,73,0.4979936154846108,0.6186440677966102
