seed,method,bin,bin_n,bin_n_positive,bin_mean_predicted,bin_fraction_positive,calibration_gap,brier_score,brier_uncalibrated_baseline,brier_improvement_vs_uncalibrated,log_loss,roc_auc,mean_predicted_probability,actual_prevalence,mean_pred_over_prevalence_ratio,score_min,score_median,score_p95,score_p99,score_max,f9_7_low_count,f9_7_low_pct,f9_7_medium_count,f9_7_medium_pct,f9_7_high_count,f9_7_high_pct,matched_threshold,matched_precision,matched_recall,matched_f1
42,sigmoid,0,118,4,0.014621355979132607,0.03389830508474576,0.019276949105613155,0.1061766066343522,0.17102073712871702,0.06484413049436481,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.002990644760411569,0.11525367409984565,0.4572102735675089,0.693841088265859,0.8477533729490577,989,84.1,164,13.95,23,1.96,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927
42,sigmoid,1,118,4,0.03052606046447672,0.03389830508474576,0.003372244620269041,0.1061766066343522,0.17102073712871702,0.06484413049436481,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.002990644760411569,0.11525367409984565,0.4572102735675089,0.693841088265859,0.8477533729490577,989,84.1,164,13.95,23,1.96,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927
42,sigmoid,2,117,8,0.04943774473796461,0.06837606837606838,0.01893832363810377,0.1061766066343522,0.17102073712871702,0.06484413049436481,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.002990644760411569,0.11525367409984565,0.4572102735675089,0.693841088265859,0.8477533729490577,989,84.1,164,13.95,23,1.96,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927
42,sigmoid,3,118,7,0.06900620683201655,0.059322033898305086,-0.009684172933711467,0.1061766066343522,0.17102073712871702,0.06484413049436481,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.002990644760411569,0.11525367409984565,0.4572102735675089,0.693841088265859,0.8477533729490577,989,84.1,164,13.95,23,1.96,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927
42,sigmoid,4,117,8,0.09620529972976603,0.06837606837606838,-0.02782923135369765,0.1061766066343522,0.17102073712871702,0.06484413049436481,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.002990644760411569,0.11525367409984565,0.4572102735675089,0.693841088265859,0.8477533729490577,989,84.1,164,13.95,23,1.96,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927
42,sigmoid,5,118,9,0.13339328931105743,0.07627118644067797,-0.05712210287037946,0.1061766066343522,0.17102073712871702,0.06484413049436481,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.002990644760411569,0.11525367409984565,0.4572102735675089,0.693841088265859,0.8477533729490577,989,84.1,164,13.95,23,1.96,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927
42,sigmoid,6,117,18,0.17617525011149446,0.15384615384615385,-0.022329096265340603,0.1061766066343522,0.17102073712871702,0.06484413049436481,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.002990644760411569,0.11525367409984565,0.4572102735675089,0.693841088265859,0.8477533729490577,989,84.1,164,13.95,23,1.96,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927
42,sigmoid,7,118,21,0.23024917450342694,0.17796610169491525,-0.05228307280851169,0.1061766066343522,0.17102073712871702,0.06484413049436481,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.002990644760411569,0.11525367409984565,0.4572102735675089,0.693841088265859,0.8477533729490577,989,84.1,164,13.95,23,1.96,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927
42,sigmoid,8,117,38,0.31225377384252145,0.3247863247863248,0.012532550943803344,0.1061766066343522,0.17102073712871702,0.06484413049436481,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.002990644760411569,0.11525367409984565,0.4572102735675089,0.693841088265859,0.8477533729490577,989,84.1,164,13.95,23,1.96,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927
42,sigmoid,9,118,73,0.4979936154846108,0.6186440677966102,0.12065045231199939,0.1061766066343522,0.17102073712871702,0.06484413049436481,0.3539354112116474,0.8031707056688374,0.1609945722016679,0.16156462585034015,0.9964716679429549,0.002990644760411569,0.11525367409984565,0.4572102735675089,0.693841088265859,0.8477533729490577,989,84.1,164,13.95,23,1.96,0.19709832935909297,0.3643835616438356,0.7,0.47927927927927927
