high_cutoff,medium_cutoff,total_leavers,n_low,attrition_rate_low,leavers_low,pct_of_oof_population_low,share_of_all_leavers_low,n_medium,attrition_rate_medium,leavers_medium,pct_of_oof_population_medium,share_of_all_leavers_medium,n_high,attrition_rate_high,leavers_high,pct_of_oof_population_high,share_of_all_leavers_high,pct_leavers_captured_by_high,pct_leavers_captured_by_high_plus_medium,separation_high_minus_low,monotonic,scheme,seed
0.37017262169040177,0.22912244517348182,190,882,0.0782312925170068,69,75.0,36.32,176,0.2727272727272727,48,14.97,25.26,118,0.6186440677966102,73,10.03,38.42,38.42,63.68,0.5404127752796034,True,top10_high_next15_medium,42
0.37021164449771293,0.22515326621327308,190,882,0.07369614512471655,65,75.0,34.21,176,0.29545454545454547,52,14.97,27.37,118,0.6186440677966102,73,10.03,38.42,38.42,65.79,0.5449479226718936,True,top10_high_next15_medium,43
0.36896286449385496,0.2257876146410004,190,882,0.07369614512471655,65,75.0,34.21,176,0.2897727272727273,51,14.97,26.84,118,0.6271186440677966,74,10.03,38.95,38.95,65.79,0.55342249894308,True,top10_high_next15_medium,44
0.35911291586087096,0.2280509274502634,190,882,0.07482993197278912,66,75.0,34.74,176,0.2727272727272727,48,14.97,25.26,118,0.6440677966101694,76,10.03,40.0,40.0,65.26,0.5692378646373804,True,top10_high_next15_medium,45
0.4572102735675089,0.2623519331304691,190,940,0.08404255319148936,79,79.93,41.58,177,0.4011299435028249,71,15.05,37.37,59,0.6779661016949152,40,5.02,21.05,21.05,58.42,0.5939235485034259,True,top5_high_next15_medium,42
0.46391323758087655,0.2588404796133629,190,940,0.0851063829787234,80,79.93,42.11,177,0.3785310734463277,67,15.05,35.26,59,0.7288135593220338,43,5.02,22.63,22.63,57.89,0.6437071763433104,True,top5_high_next15_medium,43
0.477803511941191,0.2617121240165412,190,940,0.08936170212765958,84,79.93,44.21,177,0.3785310734463277,67,15.05,35.26,59,0.6610169491525424,39,5.02,20.53,20.53,55.79,0.5716552470248828,True,top5_high_next15_medium,44
0.45399917086059005,0.26728778820837373,190,940,0.0851063829787234,80,79.93,42.11,177,0.3785310734463277,67,15.05,35.26,59,0.7288135593220338,43,5.02,22.63,22.63,57.89,0.6437071763433104,True,top5_high_next15_medium,45
0.5929256785940287,0.2985876571985475,190,987,0.09625126646403243,95,83.93,50.0,165,0.46060606060606063,76,14.03,40.0,24,0.7916666666666666,19,2.04,10.0,10.0,50.0,0.6954154002026343,True,top2_high_next14_medium,42
0.5984270618079133,0.2994439363423706,190,987,0.09219858156028368,91,83.93,47.89,165,0.48484848484848486,80,14.03,42.11,24,0.7916666666666666,19,2.04,10.0,10.0,52.11,0.6994680851063829,True,top2_high_next14_medium,43
0.5700321049747827,0.29729351510769914,190,987,0.09321175278622088,92,83.93,48.42,165,0.48484848484848486,80,14.03,42.11,24,0.75,18,2.04,9.47,9.47,51.58,0.6567882472137792,True,top2_high_next14_medium,44
0.6011636640421256,0.29451507148291434,190,987,0.09321175278622088,92,83.93,48.42,165,0.47878787878787876,79,14.03,41.58,24,0.7916666666666666,19,2.04,10.0,10.0,51.58,0.6984549138804458,True,top2_high_next14_medium,45
