high_percentile,medium_percentile,high_cutoff,medium_cutoff,n_total,n_low,pct_low,n_medium,pct_medium,n_high,pct_high,scheme,seed
90,75,0.37017262169040177,0.22912244517348182,1176,882,75.0,176,14.97,118,10.03,top-10%-High / next-15%-Medium,42
90,75,0.37021164449771293,0.22515326621327308,1176,882,75.0,176,14.97,118,10.03,top-10%-High / next-15%-Medium,43
90,75,0.36896286449385496,0.2257876146410004,1176,882,75.0,176,14.97,118,10.03,top-10%-High / next-15%-Medium,44
90,75,0.35911291586087096,0.2280509274502634,1176,882,75.0,176,14.97,118,10.03,top-10%-High / next-15%-Medium,45
95,80,0.4572102735675089,0.2623519331304691,1176,940,79.93,177,15.05,59,5.02,top-5%-High / next-15%-Medium,42
95,80,0.46391323758087655,0.2588404796133629,1176,940,79.93,177,15.05,59,5.02,top-5%-High / next-15%-Medium,43
95,80,0.477803511941191,0.2617121240165412,1176,940,79.93,177,15.05,59,5.02,top-5%-High / next-15%-Medium,44
95,80,0.45399917086059005,0.26728778820837373,1176,940,79.93,177,15.05,59,5.02,top-5%-High / next-15%-Medium,45
98,84,0.5929256785940287,0.2985876571985475,1176,987,83.93,165,14.03,24,2.04,top-2%-High / next-14%-Medium (mirrors F9.7's observed sigmoid proportions),42
98,84,0.5984270618079133,0.2994439363423706,1176,987,83.93,165,14.03,24,2.04,top-2%-High / next-14%-Medium (mirrors F9.7's observed sigmoid proportions),43
98,84,0.5700321049747827,0.29729351510769914,1176,987,83.93,165,14.03,24,2.04,top-2%-High / next-14%-Medium (mirrors F9.7's observed sigmoid proportions),44
98,84,0.6011636640421256,0.29451507148291434,1176,987,83.93,165,14.03,24,2.04,top-2%-High / next-14%-Medium (mirrors F9.7's observed sigmoid proportions),45
